United Arab Emirates;1000290;1069720;1137550;1209100;1284390;1363480;1446570;1530440;1622750;1722060;1826250;1936690;2056290;2184200;2319180;2457980;2599580;2746330;2898500;3056080;3219300;3387330;3558100;3731700;3907950;4086600;4265910;4444010;4621400;4798490;4975590
Nigeria;74821270;77149580;79510980;81163740;82724290;84889380;87092240;89405020;91760420;94159650;96603760;99092500;101625070;104199680;106814040;109465080;112149020;114862040;117599570;120369200;123178820;126014330;128864320;131727520;134604510;137495060;140397770;143312100;146255310;149229090;152217340
Malaysia;13460090;13875210;14308290;14752620;15197920;15649110;16111170;16578900;17055110;17471980;17882220;18376070;18861910;19338220;19835020;20339030;20856690;21407150;21977230;22553410;23151280;23737360;24282610;24880400;25475470;25968120;26432160;26895560;27357760;27817870;28274730
Former Serbia and Montenegro;--;--;--;--;--;--;--;--;--;--;--;--;10265850;10306940;10351040;10390510;10450740;10472860;10342790;10159900;10036770;9995370;10002030;9996370;9986280;9968760;--;--;--;--;--
India;684887700;699153770;713710940;728521550;744016970;759612210;775063240;790640430;806379400;822218830;838158830;853724390;870113190;886743710;903579290;920584970;937725480;954926050;972112810;989250190;1006300300;1023295080;1040284820;1057251120;1074159020;1090973030;1107624350;1124134800;1140566210;1156897770;1173108020
Tajikistan;--;--;--;--;--;--;--;--;--;--;--;--;5500030;5546630;5604490;5678230;5764360;5864690;5983490;6110860;6229700;6339100;6452010;6567850;6688430;6814790;6944060;7076600;7211880;7349150;7487490
Comoros;333510;340880;348820;357200;366030;375300;385050;395280;406030;417310;429140;441540;454530;468100;482260;497010;512320;528120;544440;561260;578630;596460;614670;633270;652260;671640;691370;711420;731780;752440;773410
Slovakia;--;--;--;--;--;--;--;--;--;--;--;--;--;5323580;5345260;5361590;5373190;5383010;5390240;5395740;5400320;5404680;5410050;5416410;5423570;5431360;5439450;5447500;5455410;5463050;5470310
Bahamas, The;209760;213450;217130;220860;224620;228200;231430;234480;237710;241240;245130;249310;253560;257660;261510;265180;268880;272560;275990;279310;282590;285690;288580;291350;294060;296710;299290;301970;304730;307550;310430
Norway;4085620;4099700;4114790;4128430;4140090;4152420;4166600;4186150;4208730;4226140;4242010;4261730;4286360;4311960;4336640;4359100;4381280;4405670;4432720;4463380;4492400;4515200;4535590;4555400;4574560;4593040;4610820;4627930;4644460;4660540;4676310
Haiti;5507700;5622870;5740420;5862290;5988980;6119920;6253860;6389670;6518780;6652690;6797940;6929830;7069970;7232840;7399690;7570400;7740670;7909680;8080560;8249710;8412890;8568580;8723190;8883670;9045690;9204670;9357560;9500490;9639080;9777970;9648920
Swaziland;611460;631310;649810;672410;696340;721570;749420;777590;814990;849300;881600;922470;959020;988720;994920;1003640;1032450;1061060;1089400;1117140;1143930;1169520;1193710;1216440;1237950;1258980;1279800;1299910;1319100;1337190;1354050
Malawi;6258930;6459670;6668540;6883930;7104350;7330010;7608550;8052740;8586620;9090830;9546000;9930810;10309600;10495110;10320450;10264050;10526810;10838840;11155340;11476850;11801510;12128670;12460090;12796800;13140140;13492110;13855680;14232790;14623680;15028760;15447500
Azerbaijan;--;--;--;--;--;--;--;--;--;--;--;--;7459400;7482150;7494980;7554940;7628440;7677880;7726490;7768710;7809050;7847230;7883780;7924120;7968350;8015570;8066160;8120250;8177720;8238670;8303510
Sri Lanka;15055970;15315490;15575470;15784460;15976920;16188110;16423790;16663120;16903080;17142290;17365080;17559050;17755610;17997150;18247060;18475880;18679670;18868200;19055660;19241040;19435870;19646270;19870070;20097490;20303270;20504260;20717930;20926320;21128770;21324790;21513990
French Guiana;70000;70000;70000;80000;80000;90000;90000;100000;110000;110000;120000;120000;130000;130000;140000;150000;150000;160000;170000;170000;170000;177560;182240;186920;191310;191310;191310;191310;191310;191310;191310
Papua New Guinea;2846400;2917160;2991000;3067600;3146900;3228930;3313750;3401470;3492130;3585880;3682830;3783090;3886600;3993250;4103100;4215890;4331070;4448370;4567800;4689320;4812790;4937450;5062600;5188110;5313890;5439770;5565560;5691090;5816230;5940780;6064520
Mongolia;1662380;1708830;1756030;1805000;1855690;1907700;1960800;2015130;2070720;2160600;2217540;2270380;2317950;2359690;2400650;2447040;2494850;2539220;2581520;2623050;2663760;2704470;2744550;2784080;2824570;2865990;2908400;2951790;2996080;3041140;3086920
Gabon;713830;730840;754240;779020;805260;833040;859450;880920;899740;918840;938080;960430;986370;1013160;1040810;1069070;1097710;1126940;1157170;1195650;1236430;1269150;1300420;1332620;1364410;1395690;1426390;1456450;1485830;1514990;1545260
Costa Rica;2299120;2357290;2424370;2494350;2567600;2644310;2723380;2799340;2874120;2949890;3023270;3093020;3168360;3256530;3351200;3444740;3536000;3625320;3713740;3800170;3882580;3956210;4020950;4083820;4146700;4208690;4269770;4331130;4393240;4455050;4516220
Central African Republic;2348780;2412770;2477570;2543280;2629270;2714150;2775360;2840880;2917180;2999870;3084970;3174490;3266520;3367030;3465850;3544410;3621610;3707380;3797960;3889220;3979860;4053930;4128420;4214920;4288750;4363040;4448950;4543730;4641320;4741920;4844930
Suriname;354080;352510;360090;367620;374260;380420;384890;386620;388560;392550;394800;395360;396500;397240;398770;402830;407610;413390;419930;426260;432490;438510;444330;449930;455320;460500;465610;470780;476000;481270;486620
Mauritania;1544910;1577650;1611890;1647590;1684770;1723470;1763680;1805390;1848500;1885830;1924980;1973430;2042820;2119240;2183340;2234790;2270680;2315220;2374100;2436910;2500870;2565790;2631850;2699240;2767950;2837940;2909100;2981450;3054930;3129490;3205060
Cuba;9652980;9711980;9789220;9881260;9973730;10065630;10144380;10216820;10305520;10407900;10513440;10611140;10691910;10756670;10813260;10865450;10911700;10951860;10998530;11052980;11105860;11155820;11202690;11246680;11287850;11326150;11361550;11394040;11423950;11451650;11477460
Brunei;185220;192830;198860;204950;211220;217840;224730;231820;238880;245850;252890;259250;265760;273110;280500;287990;295570;303110;310530;317900;325300;332650;339990;347260;354310;361110;367820;374580;381370;388190;395030
Turks and Caicos Islands;7470;7790;8150;8520;8910;9320;9730;10160;10610;11060;11510;12080;12660;13250;13840;14440;15040;15650;16270;16890;17510;18130;18750;19360;19970;20570;21170;21760;22350;22940;23530
